"","customer_id","loan_request_id","principle_amount_paid","penalty_paid","bank_electronic_repayments_id","bank_electonic_payment_id","amount","credit_date"
"6231",11472,4146,5000,0,3552,3552,5000,"2016-09-29 00:00:00"
"6232",11472,4723,5000,0,4079,4079,5000,"2016-10-04 00:00:00"
"6233",11472,5399,5000,0,4776,4776,10000,"2016-10-19 00:00:00"
"6234",11472,5558,5000,0,4776,4776,10000,"2016-10-19 00:00:00"
"6235",11472,6494,0,350,6868,6868,350,"2016-11-17 00:00:00"
"6236",11472,6494,10000,0,6872,6872,10000,"2016-11-17 00:00:00"
"6237",11472,9177,10000,0,7815,7815,10000,"2016-11-30 00:00:00"
"6238",11472,20305,4825,175,21134,21134,5000,"2017-03-13 00:00:00"
"6239",11472,20305,175,0,21950,21950,175,"2017-03-16 00:00:00"
"6240",11472,22141,5000,0,22119,22119,5000,"2017-03-18 00:00:00"
"6241",11472,24795,10000,0,28426,28426,10000,"2017-04-13 00:00:00"
"6242",11472,29374,0,400,39878,39878,400,"2017-05-29 00:00:00"
"6243",11472,29374,10000,0,39885,39885,10000,"2017-05-29 00:00:00"
"6244",11472,44349,5000,0,50221,50221,5000,"2017-06-29 00:00:00"
"6245",11472,56046,10000,0,82902,82902,10000,"2017-08-30 00:00:00"
"6246",11472,64526,5000,0,96360,96360,5000,"2017-09-26 00:00:00"
"6247",11472,69048,5000,0,102842,102842,5000,"2017-10-05 00:00:00"
"6248",11472,74909,5000,0,115097,115097,10000,"2017-10-31 00:00:00"
"6249",11472,75050,5000,0,115097,115097,10000,"2017-10-31 00:00:00"
"6250",11472,84158,10000,0,134104,134104,10000,"2017-11-30 00:00:00"
"6251",11472,95323,10000,0,158135,158135,10000,"2018-01-02 00:00:00"
"6252",11472,108621,10000,0,181498,181498,10000,"2018-02-01 00:00:00"
"6253",11472,122833,10000,0,208516,208516,10000,"2018-03-01 00:00:00"
"6254",11519,14386,19200,10800,200220,200220,30000,"2018-02-21 00:00:00"
"6255",11539,773,20000,340,714,714,20340,"2016-06-10 00:00:00"
"6256",11539,1595,10000,0,1331,1331,20000,"2016-07-08 00:00:00"
"6257",11539,1757,10000,0,1331,1331,20000,"2016-07-08 00:00:00"
"6258",11539,2252,10000,350,2109,2109,10350,"2016-08-09 00:00:00"
"6259",11539,2536,10000,350,2298,2298,15350,"2016-08-19 00:00:00"
"6260",11539,2859,5000,0,2298,2298,15350,"2016-08-19 00:00:00"
"6261",11539,3398,10000,0,3022,3022,10000,"2016-09-12 00:00:00"
"6262",11539,4104,20000,700,4231,4231,20700,"2016-10-06 00:00:00"
"6263",11539,13857,11666,0,15558,15558,11666,"2017-02-08 00:00:00"
"6264",11539,13857,11666,0,20781,20781,11666,"2017-03-09 00:00:00"
